,occurTime,age,occupation,isRock,occurMonth,mahal
0,13,10,1,1,7,10.090231521590516
1,6,10,2,1,9,12.320794452387245
2,12,10,2,1,10,10.466530692492938
3,13,10,2,1,12,11.178424380004895
4,7,10,2,1,6,11.637650296043873
5,10,10,2,1,8,10.44226231880513
6,8,10,2,1,7,11.121538365446108
7,11,20,4,1,5,3.0716289510632793
8,20,40,4,1,11,21.732494131464613
9,18,10,2,1,6,11.203507269076935
10,18,60,4,1,8,40.45599172046614
11,15,10,2,1,8,10.224158641794357
12,8,30,4,1,7,11.334638975957915
13,15,50,4,1,5,30.263870224827656
14,8,30,4,1,12,12.419743118231619
15,22,40,4,1,4,22.28030436153644
16,13,40,4,1,9,20.255895467101517
17,8,20,4,1,2,7.1185511735023175
18,19,50,4,1,2,31.126039195807554
19,8,40,4,1,9,20.852067609143777
20,13,10,2,1,2,11.108789979307968
21,17,10,2,1,3,11.443534094158027
22,12,10,2,1,4,10.42195234338691
23,7,10,4,1,5,11.790528013484458
24,18,10,2,1,7,11.165740943160522
25,15,20,3,1,5,2.908701675774113
26,19,40,4,1,12,21.64157991774369
27,0,30,4,1,1,17.514415276271436
28,17,10,4,1,8,10.83823293147816
29,16,20,3,1,8,3.3203385373714074
30,8,10,2,1,10,11.53924619109169
31,10,20,3,1,2,5.7881241172141396
32,8,20,3,1,6,5.091771055652987
33,6,20,4,1,7,7.088915162293331
34,22,20,3,1,11,9.953960426116684
35,16,20,4,1,1,6.8049025918674975
36,8,10,2,1,1,12.599898472806075
37,18,40,4,1,2,21.347306832511784
38,19,20,4,1,3,7.342522537012221
39,20,10,2,1,3,12.816006364030162
40,7,40,4,1,4,21.211653156913005
41,20,20,3,1,7,7.089676607541055
42,11,10,3,1,8,10.173877279923186
43,22,40,4,1,9,22.18530912226055
44,20,40,4,1,11,21.732494131464613
45,15,20,4,1,12,5.6493660053021
46,14,10,2,1,12,11.227452388634562
47,19,20,3,1,12,7.933534980543291
48,13,40,4,1,6,20.170168916734667
49,10,60,4,1,10,40.351078465053476
50,16,10,3,1,7,10.384852469980808
51,7,10,2,1,9,11.785605264794187
52,13,10,2,1,12,11.178424380004895
53,17,20,4,1,4,5.183705416871945
54,17,20,4,1,4,5.183705416871945
55,7,40,4,1,5,21.097142586869175
56,16,10,2,1,7,10.415216741414213
