,occurTime,age,occupation,isRock,occurMonth
0,13,10,1,1,7
1,6,10,2,1,9
2,12,10,2,1,10
3,13,10,2,1,12
4,7,10,2,1,6
5,10,10,2,1,8
6,8,10,2,1,7
7,11,20,4,1,5
8,20,40,4,1,11
9,18,10,2,1,6
10,18,60,4,1,8
11,15,10,2,1,8
12,8,30,4,1,7
13,15,50,4,1,5
14,8,30,4,1,12
15,22,40,4,1,4
16,13,40,4,1,9
17,8,20,4,1,2
18,19,50,4,1,2
19,8,40,4,1,9
20,13,10,2,1,2
21,17,10,2,1,3
22,12,10,2,1,4
23,7,10,4,1,5
24,18,10,2,1,7
25,15,20,3,1,5
26,19,40,4,1,12
27,0,30,4,1,1
28,17,10,4,1,8
29,16,20,3,1,8
30,8,10,2,1,10
31,10,20,3,1,2
32,8,20,3,1,6
33,6,20,4,1,7
34,22,20,3,1,11
35,16,20,4,1,1
36,8,10,2,1,1
37,18,40,4,1,2
38,19,20,4,1,3
39,20,10,2,1,3
40,7,40,4,1,4
41,20,20,3,1,7
42,11,10,3,1,8
43,22,40,4,1,9
44,20,40,4,1,11
45,15,20,4,1,12
46,14,10,2,1,12
47,19,20,3,1,12
48,13,40,4,1,6
49,10,60,4,1,10
50,16,10,3,1,7
51,7,10,2,1,9
52,13,10,2,1,12
53,17,20,4,1,4
54,17,20,4,1,4
55,7,40,4,1,5
56,16,10,2,1,7
57,9,20,4,1,12
58,19,20,4,1,5
59,8,20,3,1,7
60,21,70,4,1,11
62,13,10,2,1,3
63,9,20,4,1,5
64,19,20,4,1,11
65,15,60,4,1,3
66,7,10,2,1,9
67,9,20,3,1,12
68,7,20,4,1,6
69,12,60,4,1,1
70,0,30,4,1,9
71,0,50,4,1,7
72,12,10,2,1,1
73,8,20,4,1,5
74,12,10,2,1,3
75,8,20,4,1,4
76,16,10,2,1,5
77,18,10,2,1,6
78,8,10,2,1,10
79,17,40,4,1,10
80,13,20,4,1,6
81,7,10,2,1,4
82,13,30,4,1,7
83,10,10,3,1,9
84,16,10,2,1,11
85,9,20,4,1,1
86,13,50,4,1,10
87,8,10,2,1,8
88,19,10,4,1,6
90,21,10,2,1,7
91,16,50,4,1,4
92,21,40,4,1,8
93,21,60,4,1,6
94,8,10,2,1,1
95,16,10,2,1,4
96,8,10,4,1,7
97,17,10,2,1,8
98,8,10,2,1,5
99,0,10,2,1,6
100,16,10,2,1,6
101,9,20,3,1,10
102,18,10,2,1,11
103,8,10,2,1,12
104,7,10,2,1,5
105,7,10,1,1,11
106,13,10,2,1,3
107,7,30,4,1,12
108,14,10,1,1,3
109,17,30,4,1,9
110,13,10,2,1,9
111,20,10,2,1,4
112,13,10,4,1,8
113,19,10,2,1,11
114,15,10,2,1,8
115,8,50,4,1,11
116,7,20,4,1,11
117,7,20,4,1,3
118,7,10,2,1,9
119,7,10,2,1,6
120,23,10,2,1,3
121,0,10,1,1,3
122,9,40,4,1,8
123,8,20,4,1,9
124,8,20,4,1,1
125,8,10,2,1,5
126,11,30,4,1,9
127,18,20,4,1,8
128,10,10,1,1,9
129,7,10,2,1,8
130,8,20,4,1,5
131,10,70,4,1,5
132,17,40,4,1,8
133,18,10,3,1,4
134,7,10,2,1,6
135,8,40,4,1,7
136,9,60,4,1,9
137,10,20,4,1,12
138,10,50,4,1,12
139,16,10,2,1,5
141,12,70,4,1,5
143,13,50,4,1,2
144,20,20,4,1,9
145,20,20,4,1,10
146,17,10,0,1,3
147,15,10,2,1,10
148,18,10,4,1,6
149,17,10,2,1,6
150,14,10,2,1,6
151,18,20,4,1,6
152,19,10,2,1,7
153,18,10,2,1,8
154,16,10,2,1,9
155,8,10,2,1,4
156,7,30,4,1,7
157,19,10,2,1,7
158,7,20,3,1,7
159,23,20,3,1,4
160,0,20,4,1,7
161,18,10,2,1,1
162,20,20,3,1,2
163,9,10,2,1,6
164,21,20,4,1,2
165,17,10,3,1,11
166,9,10,2,1,6
167,8,10,2,1,6
168,8,10,2,1,8
169,19,10,2,1,9
170,7,10,2,1,9
171,16,10,0,1,3
172,18,10,2,1,3
173,7,20,3,1,4
174,22,10,4,1,9
175,22,20,4,1,11
176,17,20,4,1,6
177,6,10,2,1,4
178,13,10,2,1,7
179,8,10,2,1,4
180,7,10,2,1,6
181,8,30,4,1,8
182,8,30,4,1,9
183,16,10,2,1,2
184,16,10,2,1,6
185,18,60,4,1,10
186,16,10,1,1,8
187,8,20,4,1,9
188,18,20,4,1,9
189,8,10,2,1,1
190,8,10,2,1,4
191,18,30,4,1,7
192,20,10,2,1,5
193,8,30,4,1,3
194,18,40,4,1,6
195,16,20,3,1,1
196,20,10,2,1,4
197,8,10,2,1,7
198,7,10,2,1,10
199,18,10,2,1,5
200,18,30,4,1,7
201,7,10,2,1,1
202,19,10,4,1,12
203,6,30,4,1,2
204,19,10,2,1,5
205,8,10,4,1,6
206,8,10,2,1,9
207,6,10,4,1,9
208,6,10,2,1,6
209,7,10,2,1,12
210,9,40,4,1,5
211,10,10,2,1,4
212,14,10,2,1,5
213,17,10,1,1,6
214,0,20,4,1,9
215,8,10,2,1,6
216,16,10,2,1,10
217,7,10,2,1,5
218,15,40,4,1,7
219,19,50,4,1,8
220,11,10,2,1,8
221,8,20,4,1,8
222,16,10,4,1,8
223,16,40,4,1,11
224,0,20,3,1,5
225,21,50,4,1,8
226,8,10,2,1,4
227,15,30,4,1,8
228,7,10,2,1,4
229,17,10,2,1,1
230,7,10,2,1,10
232,19,10,2,1,1
233,11,60,4,1,9
234,7,10,2,1,9
